site_id,lat,lon,pft,parameter,response_var,coefficient_of_variation,elasticity,partial_variance,sensitivity,variance_explained
1e782bbd9aba2833,37.96339,-121.41258,grass,coarse_root_respiration_Q10,AbvGrndWood,0.32746213648895234,-2.911206619944526,0.026767061555199423,-2.77528392646913,2.676706155519942
1e782bbd9aba2833,37.96339,-121.41258,grass,SLA,AbvGrndWood,0.49163032965929954,2.5315716709894525,0.024532687023211756,0.6986044835535619,2.4532687023211754
1e782bbd9aba2833,37.96339,-121.41258,grass,fine_root_respiration_Q10,AbvGrndWood,0.3253878667926847,1.896894703116376,0.055777299351385715,1.4325175287777367,5.577729935138572
1e782bbd9aba2833,37.96339,-121.41258,grass,half_saturation_PAR,AbvGrndWood,0.4282583546535079,1.3304565799895127,0.07436162954310688,0.6813277045275219,7.436162954310688
1e782bbd9aba2833,37.96339,-121.41258,grass,growth_resp_factor,AbvGrndWood,0.4132613073465301,-1.282075921415426,0.02181469365047832,-18.90464938675922,2.181469365047832
1e782bbd9aba2833,37.96339,-121.41258,grass,dVPDSlope,AbvGrndWood,0.5266968206615892,1.2799361256880015,0.039079368777848456,11.990268801609876,3.9079368777848456
1e782bbd9aba2833,37.96339,-121.41258,grass,leaf_respiration_rate_m2,AbvGrndWood,0.3832377053035218,-1.2677068529021893,0.05502960791142225,-8.691801279624245,5.502960791142225
1e782bbd9aba2833,37.96339,-121.41258,grass,Vm_low_temp,AbvGrndWood,0.0037438905433444156,0.9956709622524258,0.11279659187345802,-3.428325639836375,11.279659187345802
1e782bbd9aba2833,37.96339,-121.41258,grass,leafGrowth,AbvGrndWood,0.5781871273965496,-0.8167659951614027,0.09389781754074991,-0.014375467229974799,9.389781754074992
1e782bbd9aba2833,37.96339,-121.41258,grass,psnTOpt,AbvGrndWood,0.007610358515748966,0.7507137817292142,5.0291432429237224e-5,0.0335439757342263,0.005029143242923723
1e782bbd9aba2833,37.96339,-121.41258,grass,leaf_turnover_rate,AbvGrndWood,0.8761489304544976,-0.4819083898200696,0.03570354722201957,-1.5849833799535658,3.570354722201957
1e782bbd9aba2833,37.96339,-121.41258,grass,root_turnover_rate,AbvGrndWood,3.460043964015096,0.19653473169683164,0.02263706350499437,4.035442591341957,2.263706350499437
1e782bbd9aba2833,37.96339,-121.41258,grass,extinction_coefficient,AbvGrndWood,0.1383292516674499,0.19312725552236445,0.008597477714049138,1.6025087508185236,0.8597477714049139
1e782bbd9aba2833,37.96339,-121.41258,grass,stem_respiration_rate,AbvGrndWood,0.5736585334331054,-0.04002295548059399,0.13907551288213646,-0.009956831927198262,13.907551288213647
1e782bbd9aba2833,37.96339,-121.41258,grass,root_respiration_rate,AbvGrndWood,1.1959692923393643,-0.003834365406587735,0.14128827541744682,-0.002001623458395177,14.128827541744682
1e782bbd9aba2833,37.96339,-121.41258,grass,fracLeafFall,NPP,0.002903402909558214,-46.810260277786725,0.00500104923558579,5.213994000635012e-7,0.500104923558579
1e782bbd9aba2833,37.96339,-121.41258,grass,leafC,NPP,0.08270831696914949,-8.598436786266106,0.024001065109071212,1.498231137745385e-9,2.400106510907121
1e782bbd9aba2833,37.96339,-121.41258,grass,AmaxFrac,NPP,0.11567497255742348,-4.182644748635861,0.027677374216917332,6.533954470867243e-8,2.7677374216917334
1e782bbd9aba2833,37.96339,-121.41258,grass,veg_respiration_Q10,NPP,0.17439654055315706,3.2867276989184413,0.013553554477910432,-1.365079556410476e-8,1.3553554477910432
1e782bbd9aba2833,37.96339,-121.41258,grass,Amax,NPP,0.09358925848729428,3.151852381557843,0.0032928488189222743,-2.781669924787951e-9,0.32928488189222743
1e782bbd9aba2833,37.96339,-121.41258,grass,dVpdExp,NPP,0.28697077347762856,-2.4148228730156833,0.045328512532763,1.2503745562455755e-8,4.5328512532763
1e782bbd9aba2833,37.96339,-121.41258,grass,SLA,NPP,0.49163032965929954,1.9619101754845263,0.0444981777488219,-1.5706596805987572e-9,4.44981777488219
1e782bbd9aba2833,37.96339,-121.41258,grass,coarse_root_respiration_Q10,NPP,0.32746213648895234,-1.4070640932966967,0.013315580505739064,3.4049733895763802e-9,1.3315580505739064
